,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,1646611200000,38420.80000000,38466.11000000,38377.50000000,38448.10000000,74.44408000,1646611259999,2859960.83760590,1400,37.26088000,1431486.80353850,0
1,1646611260000,38448.10000000,38464.57000000,38430.05000000,38464.56000000,32.07250000,1646611319999,1233210.16632490,746,20.74952000,797851.45442540,0
2,1646611320000,38464.56000000,38468.67000000,38414.84000000,38442.67000000,38.56586000,1646611379999,1482579.52660460,1019,12.56360000,482831.15863270,0
3,1646611380000,38442.67000000,38446.29000000,38299.14000000,38329.04000000,123.89688000,1646611439999,4750590.15144510,1837,58.80651000,2253896.99869780,0
4,1646611440000,38329.04000000,38340.35000000,38286.62000000,38331.77000000,75.74093000,1646611499999,2901835.54597130,1318,42.56648000,1630622.03277960,0
5,1646611500000,38331.76000000,38390.33000000,38331.76000000,38367.02000000,32.22486000,1646611559999,1236518.13092680,832,11.45280000,439429.88193750,0
6,1646611560000,38367.02000000,38397.93000000,38344.17000000,38359.59000000,31.98702000,1646611619999,1227550.62628460,994,16.29648000,625395.40867300,0
7,1646611620000,38359.59000000,38363.05000000,38257.30000000,38257.30000000,37.27795000,1646611679999,1427976.74816260,1087,15.14940000,580376.65306370,0
8,1646611680000,38257.30000000,38313.08000000,38237.58000000,38285.64000000,42.20589000,1646611739999,1615975.98160320,1285,18.52999000,709462.27508920,0
9,1646611740000,38285.65000000,38344.83000000,38281.44000000,38329.54000000,38.28144000,1646611799999,1466301.86151690,890,24.77518000,948778.54788510,0
10,1646611800000,38329.54000000,38399.34000000,38279.19000000,38399.33000000,37.59625000,1646611859999,1441208.19986880,1156,20.91962000,802160.48749320,0
11,1646611860000,38399.34000000,38411.68000000,38341.20000000,38341.20000000,41.29260000,1646611919999,1584811.49393000,1000,15.09762000,579552.32825810,0
12,1646611920000,38341.21000000,38382.91000000,38336.70000000,38382.91000000,24.17870000,1646611979999,927490.38725020,608,14.40779000,552719.31165070,0
13,1646611980000,38382.90000000,38409.42000000,38351.03000000,38368.54000000,28.64706000,1646612039999,1099511.29936250,772,10.60287000,406878.55861420,0
14,1646612040000,38368.53000000,38368.54000000,38311.30000000,38356.90000000,49.45187000,1646612099999,1895934.66045650,1221,27.80463000,1065903.88903660,0
15,1646612100000,38356.91000000,38368.03000000,38310.37000000,38310.37000000,34.62816000,1646612159999,1327671.72210580,952,13.99573000,536704.94429960,0
16,1646612160000,38310.38000000,38313.97000000,38269.38000000,38287.09000000,55.26380000,1646612219999,2116071.49299760,1190,21.37336000,818304.41980240,0
17,1646612220000,38287.09000000,38287.10000000,38254.21000000,38283.62000000,29.36604000,1646612279999,1123960.98757590,782,18.07306000,691699.35490410,0
18,1646612280000,38283.62000000,38290.81000000,38184.32000000,38216.84000000,75.97321000,1646612339999,2904431.35637780,1510,36.50356000,1395564.29795570,0
19,1646612340000,38216.83000000,38284.05000000,38216.83000000,38265.56000000,56.64888000,1646612399999,2167197.97664860,1186,38.42170000,1469956.17499920,0
20,1646612400000,38263.46000000,38293.39000000,38263.46000000,38263.49000000,23.19526000,1646612459999,887807.51416460,705,13.34703000,510855.22319310,0
21,1646612460000,38263.50000000,38263.50000000,38130.01000000,38147.86000000,86.86909000,1646612519999,3317141.08783270,1855,29.52756000,1127649.30058110,0
22,1646612520000,38147.87000000,38185.54000000,38111.00000000,38111.01000000,62.56750000,1646612579999,2386968.70018880,1919,26.81591000,1023176.13224830,0
23,1646612580000,38111.01000000,38310.00000000,38005.00000000,38298.92000000,379.93796000,1646612639999,14479272.82976040,7763,138.10195000,5267452.15750250,0
24,1646612640000,38298.91000000,38419.47000000,38281.83000000,38419.32000000,109.42309000,1646612699999,4194638.80862700,2294,72.10774000,2764248.24067450,0
25,1646612700000,38419.47000000,38451.10000000,38378.55000000,38382.72000000,68.62392000,1646612759999,2635968.16920510,1815,37.42626000,1437585.73063490,0
